center,left,right,steering,throttle,brake,speed
IMG/center_2019_06_27_18_35_37_930.jpg,IMG/left_2019_06_27_18_35_37_930.jpg,IMG/right_2019_06_27_18_35_37_930.jpg,-0.05,0,0,10.21245
IMG/center_2019_06_27_18_35_38_008.jpg,IMG/left_2019_06_27_18_35_38_008.jpg,IMG/right_2019_06_27_18_35_38_008.jpg,-0.25,0,0,10.11193
IMG/center_2019_06_27_18_35_38_091.jpg,IMG/left_2019_06_27_18_35_38_091.jpg,IMG/right_2019_06_27_18_35_38_091.jpg,-0.07309842,0,0,10.02477
IMG/center_2019_06_27_18_35_38_177.jpg,IMG/left_2019_06_27_18_35_38_177.jpg,IMG/right_2019_06_27_18_35_38_177.jpg,0,0,0,9.938183
IMG/center_2019_06_27_18_35_38_263.jpg,IMG/left_2019_06_27_18_35_38_263.jpg,IMG/right_2019_06_27_18_35_38_263.jpg,0,0,0,9.835881
IMG/center_2019_06_27_18_35_38_344.jpg,IMG/left_2019_06_27_18_35_38_344.jpg,IMG/right_2019_06_27_18_35_38_344.jpg,-0.2,0,0,9.74599
IMG/center_2019_06_27_18_35_38_423.jpg,IMG/left_2019_06_27_18_35_38_423.jpg,IMG/right_2019_06_27_18_35_38_423.jpg,-0.3032849,0,0,9.6415
IMG/center_2019_06_27_18_35_38_508.jpg,IMG/left_2019_06_27_18_35_38_508.jpg,IMG/right_2019_06_27_18_35_38_508.jpg,-0.5032849,0,0,9.524791
IMG/center_2019_06_27_18_35_38_584.jpg,IMG/left_2019_06_27_18_35_38_584.jpg,IMG/right_2019_06_27_18_35_38_584.jpg,-0.703285,0,0,9.379026
IMG/center_2019_06_27_18_35_38_674.jpg,IMG/left_2019_06_27_18_35_38_674.jpg,IMG/right_2019_06_27_18_35_38_674.jpg,-0.518996,0,0,9.290482
IMG/center_2019_06_27_18_35_38_753.jpg,IMG/left_2019_06_27_18_35_38_753.jpg,IMG/right_2019_06_27_18_35_38_753.jpg,-0.2817321,0,0,9.229981
IMG/center_2019_06_27_18_35_38_831.jpg,IMG/left_2019_06_27_18_35_38_831.jpg,IMG/right_2019_06_27_18_35_38_831.jpg,-0.3050073,0,0,9.156956
IMG/center_2019_06_27_18_35_38_913.jpg,IMG/left_2019_06_27_18_35_38_913.jpg,IMG/right_2019_06_27_18_35_38_913.jpg,-0.2727535,0,0,9.07907
IMG/center_2019_06_27_18_35_38_999.jpg,IMG/left_2019_06_27_18_35_38_999.jpg,IMG/right_2019_06_27_18_35_38_999.jpg,-0.01446533,0,0,8.98153
IMG/center_2019_06_27_18_35_39_090.jpg,IMG/left_2019_06_27_18_35_39_090.jpg,IMG/right_2019_06_27_18_35_39_090.jpg,0,0,0,8.905124
